只剩着黑狗还在【对】着桑树 嗥 ,老尼姑念着佛。
大家【对】他这么快就宣布了结婚消息都 感到 很惊奇。
没想到双方的谈话来得很投机,【对】随便说起的很多事情都 有 相近的看法。
【对】此周健自己也是 清楚 的,他真正倾心的女人在所有的这些女人之外,
接着这个同学就把女方的情况【对】他 作 了一下介绍。
周健【对】她 提出 的各种要求她都极其顺从地予以满足,两人配合得很好,关系发展得极其迅速。
他甚至闻到了主任放在窗台上已经多年的一盆月季花散发出来的阵阵清香,以前他【对】这东西 毫无 感觉。
她摸着孩子的头,孩子甜甜地【对】她 微笑 。
它只会让你所爱的人也爱上你,以后【对】你们的感情便完全 失去 作用。
我本想劝老爸少钓鱼,可见他又兴奋又满足的样子,我马上改了主意,决定不【对】他钓鱼 说 一个“不”字。
我【对】妈妈 说 这样不合理,首先这浪费了水和电,也浪费了妈妈宝贵的时间;
而肉类则是酸性食物,无法【对】人体新陈代谢所产生的酸性物质 进行 中和。
这些毒素会随着所谓的美味进入肉食者体内,【对】身体 造成 危害。
有人说,肉食本来就是人类的食物,【对】这一观点我也不 赞成 。
天舒【对】她们有过几个男朋友、发展到什么地步都 知道 ,因为她们没事就说这些,好像没什么可保密的。
父亲【对】她 说 ,要想过上好日子,自己努力去。
此后,山本茂又认真【对】五百多种植物 做 了检验,进一步证实了“植物也有血型”这一结论的普遍性和准确性。
他决定【对】荞麦皮 进行 检验,最后发现荞麦皮确实属于AB型,这一检验结果为这个妇女不是被杀提供了证明。
瞒着太祖母,父亲【对】家里人 说 :“万一太祖母把养老钱都赔进去了,我们就各自从工资和存款中拿出钱来作为太祖母的养老费用吧。”
他【对】我 说 :“如果服务员没有礼貌,就是饭菜再好,顾客也不喜欢来这里就餐。”
他亲口【对】我 说 的这句话,我至今牢记在心。
后来他【对】我 说 ,他是有意将钱扔在那儿,要试试我是否诚实。
微软公司比尔·盖茨明确表示:“我肯定不会给子女留太多财产,这【对】他们的成长并 无 好处。”
诚实不但对事业的创立,而且【对】事业的兴旺都十分 重要 。
又拿出一支金笔【对】妻子 说 :“亲爱的,这支金笔随我飞入太空,是我珍贵的东西,我用宇航服把它包好,一会儿,飞船的大爆炸不会对它造成损坏的。
吸烟【对】自己身体 有 害,而且还影响别人的健康,你知道不知道?
可他们【对】外国人却 说 :“你的汉语讲得真不错,水平很高。”
他们【对】顾客总是 笑脸相迎 ,主动推销自己的商品。
一次,我到“OK”街买衣服,一位商贩【对】我 说 :“在这里买东西,您尽管放心,绝对没有伪劣商品。
有一天,许小丽哭着【对】程东 说 :“我的病好不了了,我不想拖累你,咱们吹了吧!”
东郭先生【对】老农民 说 :“我因为可怜它才救它,可它现在却要吃我……”
老农民【对】东郭先生 说 :“现在你没事了。
这时候,老农民高高举起手里的锄头【对】着口袋里的狼狠狠地 打 下去,直到把狼打死。
忽然从后边慌慌张张地跑来一只狼,焦急地【对】东郭先生 说 :“先生,先生,救救我吧!
而且每次都要在饭桌上郑重其事地端起一杯酒来【对】大家 说 “各位朋友,请允许我先敬我夫人阿平一杯。
我看到奶奶能用那普普通通的剪刀和纸张剪出那么多有趣的图案,不由得【对】剪纸 充满 了好奇心。
1502年,居住在波兰一个山区小镇里的哥白尼便开始【对】“地心说” 提出 怀疑。
却脱柏西亚挽着泰戈尔,不慌不忙地【对】大家 说 :“这个年轻人出了本诗集《桑底亚·桑吉特》,不知各位读过没有?
小蚂蚁【对】鸽子妈妈 说 :“谢谢你!”
美英【对】王华的约会 有 什么看法?
老实说,我【对】他真 有 好感。
可惜的是,我刚觉得跟人沟通没那么吃力、觉得【对】这个地方比较 熟悉 时,就得收拾行李走了。
他好像【对】你挺 有 意思的。
李文:我以为你只喜欢做瑜伽,怎么【对】太极拳也 有 兴趣?
丽莎:太极拳和瑜伽一样,不但【对】身体 有 好处,而且动作很美。
同样毫无疑问的是,学生们【对】这类事情的违规性质十分 清楚 。
现在的青少年基本上是独生子女,从小就承受了很大的压力,家长【对】子女往往是 期望 过高。
【对】集体活动很 热心 ,也乐于助人。
【对】新媳妇我们更需要 照顾 。
不禁从心底深处【对】这位年青的姑娘, 产生 了一种友好亲切的感情:
这次参观你【对】中国中学生的情况 了解 了不少吧?
东吴的大将周瑜【对】诸葛亮的才干非常 忌妒 ,总想找机会为难他。
诸葛亮走后,鲁肃【对】周瑜 说 :“三天怎么能造好十万支箭呢?
鲁肃来看诸葛亮,诸葛亮【对】他 说 :“三天要造出十万支箭来,这件事得请你帮我的忙了。”
而它【对】这一切 置若罔闻 ,依然迈着它的目空一切的有力步伐。
他【对】此 评论 道:“对人的生命和本质的进攻已在准备之中,与之相比较,氢弹的爆炸也算不了什么了。”
宋恩子、吴祥子过来请安,庞太监【对】他们 耳语 。
【对】王利发 说 而眼看着常四爷)唉,我跟你说这些干什么,你不懂!
二德子(凑过去)你这是【对】谁 甩 闲话呢?
一天继父进城回来,买回几个本子、几枝铅笔,【对】我 说 :“明天,我送你去上学!”
停了一会儿,我【对】继父 说 :“快中午了,你就在这儿吃完饭再回去吧。”
清明节那天,继父【对】我 说 :“回去给你爸上上坟吧!”
伟东还【对】他们 说 ,他们三个一定先抓,非让我穿上那件救生衣不可……
我在孩童时代就发现过夫妻越长越像,【对】同学们那里好几对父母的面容相似十分 奇怪 ,总觉得他们是兄妹。
美国总统林肯说过:过了四十岁,一个人就应该【对】自己的相貌 负责 。
我到厨房去煮咖啡,走之前【对】一巧 说 :“好好听听,你肯定会喜欢的。”
他指了指那只玩具猴子,【对】我 说 :“有机会我替你再做一个。”
头一个星期,我干得挺不错,经理【对】我也很 满意 。
记者:您的这些建议,【对】我们大家,特别是对学生很 有 启发。
他的理论和思想【对】中国历史的发展 产生 了巨大的影响,他的教育思想构成了中国传统教育的基础。
只要去南京路看一看,你就会【对】“繁华”二字 有 深刻的理解。
后部分则【对】前部分 加以 解释、说明,指出比喻的含义。
也幸亏你【对】我 关心 ,使我从此有事都可以找你商量。
我的英文老师【对】我的成绩完全不 关心 ,他将试卷给我的时候,一点表情也没有。
我发现他其实不笨,只是【对】数学 反应 稍慢了一点。
你们老师收入不高,还【对】我这么 好 ,我知道我找到爸爸妈妈了。
有一天放学以后,我找他谈话,这小子一问三不知,【对】自己的成绩忽然退步这么多,他 讲 不出任何理由。
由于你在我功课不好的时候没有放弃我,你是我一生中【对】我 影响 最大的人。
明天,我要告诉他,我才应该谢谢他,他改变了我的一生,他是我一生中【对】我 影响 最大的人。
教授【对】我 说 :“你先上去吧,我还有点事儿。”
我刚刚走出几步,就听教授低声地【对】服务员 说 :“小姐,请问贝尔格莱德大学来的伊里奇教授住几号房间?”
一个男生【对】伊里奇 说 :“教授,您可别骗我们,没准儿您弄丢的试题比您口编的要容易呢!”
问题是,他们【对】多年养成的嗜好 无可奈何 。
有人问他:“你【对】别人的婚姻大事,怎么这么 关心 ?”
王欢:她【对】身高没 提 什么要求。
这几位朋友让我【对】王欢老师 说 :“王老师,听说您太太为您生了一个漂亮的女儿,我们代表全班同学向您表示衷心的祝贺。
然后,我很自信地【对】他们 说 :“今天我一定要给你们露一手,看我是怎么钓到大鱼的!”
可我万万没想到,老师却抚摸着我的头,笑着【对】我 说 :
我【对】妈妈 说 :“这个书包的颜色多么好看啊!
他从小就【对】中国 有 兴趣:
Gao:台风【对】桔子 有 影响吗?
医生:没什么问题,你只是【对】空气中的灰尘 过敏 。
近年来,由于升学压力,家长教师似乎【对】孩子只 有 一个要求“学习好就行了”,而忽视了对孩子劳动能力的培养。
东北76所学校【对】一万多名学生所 做 的一项心理测试显示,
【对】新事物,一露头便能 认识 其全部意义和内部顾虑的人是不存在的。
【对】新事物的出现,一看脸孔陌生,不是 采取 怀疑的态度,就是一棍子打死。
我说:"你【对】妹妹倒挺 关心 !"
有人在王阿大身边蹑起了脚【对】柜台上 说 。
那女人只哼了一声,缩着头,【对】丈夫 摇 手。
它【对】你学习汉语很 有用 。
大家【对】晚会一定很 有 兴趣吧?
淡蓝色【对】发高烧的病人 有 好的作用;
而是说它没有受到污染,【对】健康 有 好处。
颜色不但影响人的情绪,也【对】语言 产生 影响。
如果我们能在生活中更好地利用颜色【对】人所 产 生的好影响,
他们还说,如果出生时,一睁眼正好看见咖啡色的什么东西,也许你就【对】咖啡色比较 偏爱 。
如果你看过京剧,可能会【对】京剧的脸谱 产生 兴趣。
常:池田先生,请问您【对】敦煌佛教艺术的特色, 有 什么想法?
【对】着熙熙攘攘的旅客, 寻找 照片上的面孔。
他在灯下拿来一本书,【对】着书名 思考 片刻,然后熄灯躺在床上,闭目静思,心驰神往。
半年之后熊庆来【对】他 说 :“这学期我讲解析数论,请你去听课吧!”
人就先一着【对】他 说 :“阿Q,这不是儿子打老子,是人打畜生。
似乎也挨了几拳几脚似的,几个人诧异的【对】他 看 。
他对于以为“一定想引诱野男人”的女人,时常留心看,然而伊并不【对】他 笑 。
阿Q忽然抢上去,【对】伊 跪 下了。
古代亲身到过沙漠的人,如晋僧法显、唐僧玄奘,统把沙漠说得十分可怕,人们【对】它也就 产生 了深刻的印象。
阿拉伯人是【对】沙漠广 有 经验的民族,阿拉伯语中称这一现象为“魔鬼的海”。
广告中呈现的中产生活和上流社会【对】你似 伸手 可及又是遥遥无期,就像昔日上海跑狗场那只引发跑狗亡命疾奔的电兔!
看起来,虽然【对】中国的政治、经济、教育和社会情况,我比较 了解 ,
【对】她 批评 最多的是她的残酷无情。
只要在水里泡一泡【对】身体就 有 好处,所以我向一个五六岁的孩子借来一个游泳圈去了游泳池。
可是父亲并不要看,他只是很沮丧地【对】我 说 :“好可惜!
【对】自己没 有 信心,又极爱面子,所以总要掩饰自己。
挫折偶尔会【对】你 有 些影响,但能很快就恢复过来,继续努力。
评价:35分以上:你【对】自己的能力从来没 有 怀疑。
经常【对】自己不了解的事 发表 意见。
父亲惊讶地【对】着花木兰仔细 打量 ,母亲听到声音,也从房中走出来看:“这怎么可以呢?
在离开了十二年的房里,木兰脱下了军装,穿上从前姑娘的衣服,【对】着镜子 化 起妆来,
肖琴到整容所去拆线的那天,遗憾地【对】医生 说起 这件事,得到的回答却是:
李娜【对】学问真是 着迷 ,听她头头是道地回答问题,我会感到一种当教师的满足!”
我要问你,究竟你【对】她 着迷 到什么程度了,为什么你总是在我面前,李娜长李娜短地夸个不停?”
肖琴自己【对】这张脸也越来越不 满意 了。
肖琴【对】许多问题开始 自问 :我的人生的黄金岁月,难道已随着青春逝去了?
我总还是你的母亲,你知道你不该【对】我 说 这种话么?
毛教授学问渊博,风趣幽默,他【对】中国的家庭很 有 研究,发表了很多论文。
难道【对】自己以前选的专业不 满意 了?
当前,【对】我国普通消费市场 影响 最大的,
某些学校还【对】扩招生 收 几千至几万元不等的额外费用。
我【对】母亲 说 ,我习惯向右侧身睡。“
孙悟空【对】唐僧 说 :“师父,你们在这里歇一会儿,我去摘点儿瓜果来解渴。”
置身于波涛汹涌的大海中,他【对】航海 产生 了浓厚的兴趣。
在回家的路上,爸爸【对】我 说 :“你身体不舒服,今天就别上学了。
Gao:是,我【对】这个地方不太 熟悉 。
我【对】中国地理 了解 得太少了。
雪梅:还有汽车,不但要用很多能源,而且还【对】空气 造成 严重污染。
不少亲戚朋友【对】这个婚姻 持 否定态度,认为方小姐是因李先生有钱有地位,有的甚至说,瞧着吧,不出三年,方小姐就得闹离婚,三年过去了,现在的方小姐,整天和李先生一起出出进进,与李先生的儿子也想出得很和睦。
第二,中国从未在境外部署过核武器,也从未【对】别国使用或威胁 使用 核武器。
中国不发展,长期处于贫穷落后状态,【对】人类才 是 威胁。”
就把许丽抱上汽车,并【对】她 说 :“走,咱们登记去。”“
一个外国人【对】中国画 有 这么大的兴趣,真是太难得了。
中国人【对】谁过生日 无所谓 ,但是外国人却很看重,一国有一国的风俗。
你【对】中国完全不 认识 ,
我【对】我的先生相当 失望 。”
我一向【对】做家事十分 痛恨 ,
但【对】煮菜却是十分 有 兴趣,几只洋葱,几片肉,一炒变出一个菜来,我很欣赏这种艺术。
饭后老板夫妇上车时特别【对】我 说 :“如果公共关系室将来有缺,希望你也来参加工作,做公司的一份子。”
荷西当时【对】我 说 :“我就是要你‘你行你素’,失去了你的个性和作风,我何必娶你呢!”
【对】太太却是正眼也不 瞧 一下,我这“黄脸婆”倒是做得放心。
他看看我这个“大厨”神气活现,【对】我也 生 起信心来了。
有一位太太【对】我 说 :“休说你们男子在街上喜欢看那些太太小姐们,我们女子比你们更甚!”
【对】着自己所喜欢的东西 瞻仰 一番,也就可饱眼福。
今天你们每个人都总结一下儿自己的学习情况,然后【对】我的工作 提 提意见和要求。
齐白石【对】学生 要求 非常严格。
愿我们的生活中,【对】他人之事的 认真 ,并能从中油然引出自己之愉悦的品格,发扬光大起来吧!
放心,我吩咐【对】老人家要格外 尊重 ,要像尊重老演员们一样还不行么?”——
人【对】自己极反感之事,想要 认真 也是认真不起来的。
但是我——他的儿子,如果仅仅得出这样的解释,则证明我【对】自己的父亲太 缺乏 了解了!
妻忽指着屏幕【对】儿子 说 :“梁爽你看你爷爷!”
妻煮饺子时,小声【对】我 说 :“爸今天是怎么了?
不久,便常有人【对】我 说 :“哎呀晓声,你父亲真好。
谁见了谁都【对】我 说 :梁晓声,你老父亲的一把大胡子真帅!
中国之电影电视剧,群众演员的问题,【对】任何一个导演,都 是 很沮丧的事。
如果我们【对】日常的事情 加以 留意,像这样的例子也是常有的。
邮递员【对】街坊 说 :“马大娘把那个掐了头不够一碟子的小妮轰到济南上学,自家天天等信!”
